Bigram,Count
a-link,404
a-liottle,404
a-liquid,404
a-list,404
a-lit,404
a-little,167
a-live,404
a-living,404
a-load,404
a-local,310
a-location,16
a-logical,404
a-login,404
a-long,84
a-longer,96
a-look,404
a-loose,213
a-lot,103
a-loud,252
a-low,47
a-lower,160
a-luddite,404
a-machine,252
a-made,404
a-magic,121
a-magnet,16
a-magnetic,16
a-magnetron,404
a-magnifying,16
a-main,404
a-major,96
a-majority,404
a-makes,404
a-male,404
a-malfunction,404
a-man,404
a-manner,404
a-manual,160
a-manufacturer,404
a-manufacturers,404
a-manufacturing,96
a-marvelous,404
a-mass,404
a-massive,16
a-masters,16
a-mat,404
a-matter,171
a-maximum,404
a-meager,404
a-meal,404
a-measly,404
a-measuring,404
a-meat,404
a-meatball,404
a-meatloaf,404
a-mechanical,404
a-medical,404
a-mediocre,404
a-medium,42
a-meeting,404
a-mega,404
a-melt,404
a-melting,404
a-member,404
a-memory,404
a-menu,16
a-mere,404
a-mess,96
a-message,16
a-metal,96
a-mfg,404
a-mi,404
a-mic,404
a-micro,16
a-microcontroller,404
a-microwace,404
a-microwave,8
a-microwaveable,404
a-mild,404
a-mildly,404
a-million,404
a-min,404
a-mind,404
a-mini,404
a-minimum,66
a-minor,190
a-minuscule,404
a-minute,66
a-miracle,404
a-mircowave,16
a-mirror,148
a-mirrored,404
a-misaligned,404
a-mistake,232
a-mix,404
a-moaning,404
a-mobile,404
a-model,16
a-moderate,16
a-modern,404
a-moisture,404
a-monster,404
a-month,146
a-monthly,404
a-months,404
a-more,66
a-motion,404
a-motor,16
a-move,121
a-moving,404
a-much,66
a-muffin,16
a-mug,125
a-multifunction,404
a-multifunctional,404
a-multitude,404
a-must,121
a-mutable,404
a-mute,404
a-muy,404
a-mw,404
a-name,66
a-napkin,16
a-narrow,404
a-nearly,404
a-necessary,16
a-necessity,404
a-need,404
a-needy,404
a-negative,96
a-neighbors,404
a-nesting,404
a-network,404
a-new,93
a-newer,213
a-next,404
a-nice,247
a-nicer,16
a-night,404
a-nightmare,404
a-nitpicky,404
a-no,190
a-noise,148
a-noisy,404
a-non,404
a-normal,42
a-not,16
a-notice,404
a-noticeable,16
a-novel,404
a-nuisance,404
a-nuker,404
a-number,35
a-office,404
a-old,16
a-older,404
a-on,404
a-one,68
a-option,404
a-ordenar,404
a-order,404
a-other,404
a-oven,404
a-over,16
a-overall,404
a-package,252
a-page,190
a-paid,404
a-pain,52
a-paint,404
a-pair,404
a-pan,160
a-panasonic,203
a-pantry,404
a-paper,73
a-paperweight,404
a-part,96
a-partial,16
a-particular,148
a-pass,404
a-pattern,404
a-pdf,66
a-peculiar,404
a-pencil,404
a-penny,404
a-percentage,404
a-perfect,250
a-perfectly,148
a-perforated,404
a-period,16
a-permanent,404
a-persistent,404
a-person,16
a-personal,121
a-pet,404
a-phone,404
a-photo,404
a-phus,404
a-physical,121
a-pic,404
a-pickup,404
a-picture,235
a-piece,219
a-pinch,404
a-pint,404
a-pita,404
a-pixel,404
a-pizza,232
a-place,190
a-placement,404
a-plain,16
a-plane,16
a-plastic,404
a-plate,31
a-platter,404
a-pleasant,16
a-pleasure,404
a-plethora,16
a-plug,404
a-plus,332
a-point,148
a-pointless,404
a-pool,148
a-poor,296
a-pop,404
a-popcorn,66
a-popping,404
a-pork,404
a-portable,404
a-pos,404
a-possibility,404
a-possible,148
a-possibly,404
a-pot,148
a-potato,42
a-potential,16
a-potentially,404
a-potholder,404
a-pound,16
a-power,101
a-powerful,66
a-powerhorse,404
a-pre,404
a-prefect,404
a-preference,404
a-premature,16
a-premium,404
a-present,404
a-preset,16
a-pretty,142
a-pretzel,404
a-previous,404
a-price,190
a-primary,404
a-prime,213
a-printed,16
a-printer,404
a-printout,404
a-prior,404
a-probe,404
a-problem,14
a-process,404
a-product,241
a-professional,16
a-project,404
a-proper,16
a-protection,404
a-protective,404
a-psh,404
a-psychedelic,404
a-pull,121
a-pungent,404
a-punt,404
a-purchase,310
a-purely,404
a-push,313
a-pyrex,16
a-quality,116
a-quart,16
a-quarter,16
a-question,404
a-questionable,404
a-quibble,404
a-quick,81
a-quiet,66
a-quieter,16
a-rack,16
a-radio,404
a-rag,404
a-raised,404
a-random,213
a-randomly,404
a-range,260
a-rather,260
a-rating,148
a-rattling,404
a-reaction,404
a-readable,404
a-reading,404
a-real,82
a-really,237
a-reason,66
a-reasonable,337
a-reasonably,190
a-rebate,16
a-rebrand,404
a-rebranded,404
a-recall,404
a-recent,404
a-recently,404
a-recipe,404
a-recommendation,404
a-record,404
a-recorded,404
a-recording,404
a-rectangle,404
a-recurring,404
a-red,404
a-reduction,404
a-reference,404
a-reflective,404
a-refrigerator,404
a-refund,373
a-refurb,404
a-refurbished,16
a-registration,404
a-regular,217
a-reheater,404
a-reheating,16
a-reimbursement,404
a-relatively,121
a-relay,404
a-relays,404
a-release,404
a-relevant,404
a-reliable,86
a-remaining,404
a-reminder,66
a-remote,404
a-removable,404
a-rental,16
a-repair,325
a-repairable,404
a-repeat,404
a-replacement,132
a-replicable,404
a-reply,404
a-reputable,16
a-reputation,404
a-required,404
a-reset,404
a-resolution,404
a-respectable,404
a-respected,404
a-response,404
a-restocking,404
a-result,186
a-retail,404
a-retired,404
a-retiree,404
a-retirement,404
a-retro,404
a-return,199
a-returned,16
a-review,29
a-revolutionary,404
a-rice,404
a-ring,16
a-risk,404
a-roast,121
a-roasted,404
a-roaster,404
a-robot,16
a-roof,404
a-room,404
a-rotating,121
a-rotiss,404
a-round,404
a-rubber,148
a-rule,404
a-run,404
a-running,404
a-rusty,404
a-safety,404
a-sample,404
a-samsung,16
a-saucer,404
a-sauna,404
a-sausage,404
a-savings,404
a-scary,404
a-scone,404
a-scratch,404
a-scratched,404
a-screaching,404
a-screaming,404
a-screeching,404
a-screen,404
a-screw,404
a-script,404
a-seal,404
a-sealed,404
a-search,404
a-searching,404
a-second,133
a-secret,404
a-secured,404
a-selected,404
a-selection,148
a-self,404
a-selling,404
a-senior,42
a-sense,404
a-sensible,404
a-sensor,190
a-separate,60
a-series,16
a-serious,148
a-service,296
a-serving,121
a-set,16
a-several,404
a-severe,404
a-shade,404
a-shaft,404
a-shallow,404
a-shame,404
a-sharp,47
a-she,404
a-sheet,404
a-shelf,247
a-shell,404
a-shelter,404
a-shim,148
a-shipper,404
a-shipping,404
a-shockingly,404
a-short,116
a-shortage,404
a-shot,404
a-sick,404
a-side,252
a-sign,404
a-significant,148
a-silence,404
a-silent,121
a-silicon,404
a-silicone,16
a-silly,404
a-silver,121
a-similar,135
a-similarly,404
a-simple,56
a-simpler,404
a-simply,404
a-single,174
a-sink,404
a-site,404
a-six,16
a-sizable,404
a-size,121
a-sizzling,404
a-skill,404
a-slap,404
a-sleek,232
a-sleeping,404
a-slice,148
a-slick,404
a-slight,78
a-slightly,404
a-slip,404
a-slippery,404
a-slower,404
a-small,147
a-smaller,145
a-smallish,404
a-smart,16
a-smell,252
a-smoke,404
a-smoking,404
a-smooth,16
a-so,16
a-soft,404
a-softer,16
a-software,404
a-solid,281
a-solution,404
a-soon,404
a-sort,404
a-sound,16
a-space,281
a-spacious,190
a-spare,16
a-spark,404
a-sparkly,404
a-special,281
a-specific,66
a-splatter,404
a-spot,404
a-stainless,232
a-stand,404
a-standalone,404
a-standard,165
a-standout,404
a-star,4
a-start,404
a-starting,404
a-steak,404
a-steal,404
a-steam,404
a-steamer,404
a-steaming,404
a-steep,404
a-stellar,404
a-step,42
a-stick,213
a-sticker,96
a-stickiness,404
a-stone,404
a-storage,16
a-store,121
a-stove,213
a-stovetop,404
a-straight,16
a-strange,148
a-stream,404
a-stretch,404
a-strobe,404
a-stroke,404
a-strong,96
a-struggle,404
a-student,404
a-studio,404
a-stupid,16
a-sturdier,404
a-sturdy,404
a-stylus,404
a-styrofoam,404
a-su,404
a-sub,404
a-substitute,404
a-sudden,148
a-suit,404
a-sulking,404
a-summer,404
a-super,121
a-supervisor,252
a-support,404
a-supposed,404
a-supposedly,404
a-surprising,404
a-sweet,404
a-switch,16
a-sympathetic,404
a-system,404
a-table,404
a-tactile,404
a-tad,404
a-tall,73
a-tank,404
a-teacher,404
a-team,404
a-tech,16
a-technician,404
a-technology,404
a-techy,404
a-tee,404
a-teenager,404
a-teensy,404
a-telephone,404
a-temp,404
a-temporary,42
a-tendency,404
a-terrible,404
a-terribly,404
a-terrific,404
a-test,148
a-tester,404
a-text,404
a-thawed,404
a-the,16
a-thick,404
a-thin,66
a-thing,121
a-third,235
a-thirty,404
a-thought,404
a-thousand,404
a-thrid,404
a-thrift,404
a-throw,404
a-thud,404
a-thumping,404
a-ticket,404
a-tiempo,404
a-tight,404
a-tike,404
a-time,138
a-timed,404
a-timely,16
a-timer,148
a-times,16
a-tin,404
a-tiny,47
a-toast,404
a-toaster,332
a-toddler,16
a-ton,121
a-tool,404
a-tooth,404
a-top,66
a-tortilla,404
a-total,335
a-totally,404
a-touch,404
a-tradeoff,404
a-traditional,404
a-trailer,404
a-train,404
a-transfer,404
a-traumatic,404
a-tray,16
a-tremendous,404
a-trendy,404
a-trick,404
a-trifle,404
a-trip,148
a-trouble,404
a-truck,404
a-true,16
a-trusted,16
a-trusty,404
a-try,66
a-tumbler,404
a-turkey,404
a-turn,404
a-turntable,121
a-tv,404
a-two,404
a-type,16
a-typical,16
a-unit,296
a-universal,404
a-usable,404
a-used,16
a-useful,404
a-useless,148
a-user,404
a-users,404
a-vacuum,404
a-value,121
a-vampire,404
a-variety,404
a-vented,404
a-verb,404
a-verrrrry,404
a-versatile,404
a-very,110
a-video,404
a-vision,404
a-visually,16
a-voice,404
a-volume,404
a-voucher,404
a-wa,404
a-wall,404
a-warehouse,148
a-warm,16
a-warming,404
a-warning,278
a-warranty,332
a-washer,16
a-waste,404
a-watch,404
a-watt,3
a-wattage,16
a-way,56
a-weak,404
a-website,16
a-wedding,404
a-wedge,404
a-week,189
a-weight,404
a-weird,175
a-welcome,404
a-welded,404
a-well,86
a-wet,16
a-wheelchair,404
a-wheeled,404
a-while,49
a-whim,404
a-whirl,404
a-whistling,404
a-white,289
a-whole,111
a-wide,404
a-wimpy,404
a-wind,404
a-window,404
a-winner,232
a-wire,404
a-wobbly,404
a-wonderful,232
a-wood,404
a-word,121
a-work,404
a-workable,404
a-workhorse,404
a-working,278
a-workout,404
a-world,404
a-worrisome,404
a-year,235
a-years,404
a-young,404
a-yr,16
a-zapping,404
a-zero,121
a-zillion,404
a-zoom,404
aa-few,404
abandon-their,404
abdominal-surgery,404
ability-is,404
ability-or,404
ability-this,404
ability-to,206
abit-of,404
able-to,41
able-touse,404
abnormal-amount,404
abnormal-for,404
abnormally-hot,404
about-a,114
about-air,148
about-all,404
about-an,16
about-another,404
about-any,16
about-anyone,404
about-anything,121
about-appliance,404
about-as,247
about-at,404
about-average,404
about-being,404
about-besides,404
about-building,404
about-buying,16
about-choosing,404
about-cleanliness,404
about-covering,404
about-daily,404
about-day,404
about-defective,404
about-doing,16
about-done,121
about-double,404
about-dumping,404
about-durability,404
about-e,404
about-eight,404
about-electronics,404
about-evenness,404
about-every,16
about-everything,281
about-five,16
about-fixing,404
about-food,404
about-four,16
about-getting,404
about-giving,404
about-going,16
about-gunk,404
about-half,60
about-halfway,404
about-having,404
about-heating,404
about-how,47
about-in,190
about-it,150
about-its,121
about-just,404
about-keeping,404
about-learning,404
about-light,404
about-longevity,404
about-making,404
about-math,404
about-measurements,404
about-microwaves,190
about-moisture,404
about-my,213
about-next,404
about-normal,16
about-now,404
about-old,404
about-once,404
about-one,16
about-ordering,16
about-other,16
about-others,404
about-our,404
about-perfect,404
about-perspective,404
about-playing,404
about-popcorn,404
about-purchase,404
about-purchasing,121
about-putting,404
about-receiving,404
about-reducing,404
about-retaining,404
about-security,404
about-sending,404
about-separating,404
about-setting,404
about-settings,404
about-seven,404
about-shipping,404
about-six,404
about-space,404
about-spending,404
about-ten,404
about-that,16
about-the,80
about-their,148
about-them,404
about-these,404
about-things,404
about-this,121
about-those,404
about-three,190
about-to,108
about-town,404
about-twenty,404
about-twice,213
about-two,121
about-until,16
about-using,16
about-waking,404
about-warming,404
about-was,404
about-what,404
about-whether,190
about-year,121
about-you,404
about-your,404
above-a,404
above-and,404
above-because,404
above-ground,404
above-instead,404
above-is,404
above-it,404
above-makes,404
above-microwaves,404
above-my,190
above-our,404
above-range,404
above-that,404
above-the,6
above-then,404
above-this,404
above-your,404
abrasions-and,404
abruptly-quit,404
abruptly-stopped,404
absence-of,404
absolute-disappointment,404
absolute-hell,404
absolute-lie,404
absolute-scale,404
absolute-worst,404
absolutely-avoid,404
absolutely-dislike,404
absolutely-dissatisfied,404
absolutely-do,404
absolutely-does,404
absolutely-essential,404
absolutely-give,404
absolutely-great,404
absolutely-have,404
absolutely-horrible,404
absolutely-identical,404
absolutely-in,404
absolutely-incredible,404
absolutely-love,404
absolutely-loved,404
absolutely-loves,404
absolutely-massive,404
absolutely-no,16
absolutely-none,404
absolutely-not,16
absolutely-only,404
absolutely-power,404
absolutely-stunning,404
absolutely-sure,404
absolutely-useless,404
absolutely-want,404
absorb-the,404
absorbing-material,404
absorbing-most,404
absorbs-light,404
abuilt-in,404
abused-in,404
abysmal-at,404
abysmally-disappointed,404
academic-in,404
accelerator-and,404
accents-only,404
accents-with,404
accept-about,404
accept-any,404
accept-either,404
accept-my,404
accept-that,404
accept-the,148
acceptable-and,404
acceptable-level,404
acceptable-life,404
acceptable-so,404
accepted-and,16
accepted-my,404
accepting-delivery,404
accepting-terms,404
accepts-large,404
accesible-due,404
access-all,404
access-any,404
access-is,404
access-my,404
access-photos,404
access-that,404
access-the,404
access-them,404
access-to,404
accessed-through,404
accessible-and,404
accessories-are,404
accident-and,404
accident-as,404
accidentally-as,404
accidentally-change,404
accidentally-put,404
accidently-cook,404
accommodate-a,16
accommodate-anything,404
accommodate-bacon,404
accommodate-either,404
accommodate-our,404
accommodate-the,404
accommodatemy-large,404
accommodates-a,404
accommodates-normal,404
accommodates-pretty,404
accommodating-once,404
accomodate-has,404
accomodates-our,404
accomodating-until,404
accompanied-by,404
accompanying-literature,404
accompanying-manual,404
accomplish-it,404
accomplish-my,404
accomplish-them,404
accomplish-this,16
accomplished-in,404
accomplished-its,404
accomplishment-for,404
according-to,192
accordingly-if,404
account-and,404
account-as,404
account-for,148
account-is,404
account-or,404
account-the,148
accumulate-inside,404
accumulated-moisture,16
accumulated-underneath,404
accumulation-of,404
accuracy-of,404
accurate-and,16
accurate-as,404
accurate-automatic,404
accurate-beware,404
accurate-but,404
accurate-dimensions,404
accurate-food,404
accurate-measure,404
accurate-on,404
accurate-predictor,404
accurate-review,404
accurate-time,404
accurate-unfortunately,404
accurate-with,404
accurately-measuring,404
accurately-representing,404
accustom-to,404
accustomed-to,190
accustomed-too,404
achieved-something,404
achieving-a,404
acknowledged-receiving,404
acknowledged-that,404
acquainted-with,404
acquired-noise,404
acquired-the,404
acquired-this,404
acrid-electrical,404
across-a,16
across-and,404
across-before,404
across-brands,404
across-in,404
across-multiple,404
across-seven,404
across-the,15
across-this,404
across-town,404
across-what,404
act-as,404
act-funny,404
act-to,404
act-up,404
act-used,404
actaully-better,404
acted-like,404
acted-very,404
acted-weird,404
acting-as,404
acting-up,66
action-and,404
action-it,404
action-of,404
action-requires,404
action-very,404
activate-and,404
activate-it,404
activate-sensors,404
activate-them,404
activated-and,404
activated-the,404
activating-a,404
active-connected,404
active-part,404
actively-rusting,404
activity-going,404
acts-as,16
acts-like,404
actual-air,404
actual-burning,404
actual-cook,404
actual-cooking,404
actual-counter,404
actual-depth,404
actual-door,404
actual-finished,404
actual-frozen,404
actual-granular,404
actual-grill,404
actual-handle,404
actual-help,404
actual-human,404
actual-interior,404
actual-kitchen,404
actual-measure,404
actual-microwave,404
actual-microwaves,404
actual-opening,404
actual-operation,404
actual-oven,16
actual-size,404
actual-solution,404
actual-stainless,16
actual-toast,404
actual-touch,404
actual-wall,404
actual-weight,404
actually-a,260
actually-admitted,404
actually-allows,404
actually-are,404
actually-be,404
actually-better,404
actually-black,404
actually-blew,404
actually-bubbled,404
actually-burned,404
actually-came,404
actually-caused,404
actually-confusing,404
actually-considerably,404
actually-cook,404
actually-cooked,404
actually-cooks,404
actually-cracked,404
actually-decided,404
actually-defrosts,404
actually-dented,404
actually-do,404
actually-does,404
actually-done,404
actually-experienced,404
actually-fit,404
actually-fly,404
actually-found,404
actually-going,404
actually-got,16
actually-had,16
actually-has,404
actually-have,148
actually-heat,404
actually-heating,404
actually-heats,404
actually-helped,404
actually-helpful,404
actually-higher,404
actually-hurts,404
actually-in,404
actually-inside,404
actually-is,121
actually-issuing,404
actually-like,404
actually-look,404
actually-looked,16
actually-looks,16
actually-love,404
actually-lowered,404
actually-lowers,404
actually-made,404
actually-makes,404
actually-no,404
actually-opens,404
actually-overall,404
actually-paused,404
actually-press,404
actually-pretty,404
actually-proportionately,404
actually-providing,404
actually-pulls,404
actually-purchase,404
actually-quite,404
actually-really,404
actually-reduced,404
actually-refers,404
actually-replaced,404
actually-rocks,404
actually-running,404
actually-saw,404
actually-says,16
actually-set,404
actually-so,404
actually-sounded,404
actually-sparkels,404
actually-started,404
actually-stop,404
actually-takes,404
actually-taped,404
actually-thought,16
actually-took,404
actually-turn,404
actually-turns,404
actually-use,404
actually-used,404
actually-using,121
actually-very,404
actually-wanted,404
actually-warm,404
actually-was,190
actually-work,121
actually-worked,404
actually-working,404
actually-works,116
actuator-to,404
acutally-caught,404
ad-says,404
adapt-recipes,404
adapt-your,404
adaptable-in,404
adapter-in,404
adapter-so,404
add-a,138
add-about,404
add-additional,404
add-an,404
add-another,148
add-anything,404
add-at,404
add-bowl,404
add-double,404
add-extra,404
add-if,404
add-in,404
add-instructions,404
add-insult,404
add-it,404
add-mine,404
add-minute,404
add-minutes,404
add-more,271
add-my,404
add-new,404
add-nothing,404
add-on,404
add-or,190
add-said,404
add-some,404
add-that,404
add-the,404
add-these,404
add-this,404
add-time,317
add-to,148
add-twice,16
add-up,404
add-weight,404
added-a,404
added-an,404
added-benefits,404
added-bonus,121
added-more,404
added-note,404
added-perk,404
added-some,404
added-the,404
added-time,404
added-to,404
added-toaster,404
addicted-so,404
adding-a,404
adding-backlighting,404
adding-ingredients,404
adding-machine,404
adding-more,190
adding-one,404
adding-or,404
adding-some,404
adding-the,404
adding-this,404
adding-time,404
adding-to,213
adding-water,404
adding-your,404
addition-and,404
addition-to,176
additional-amount,404
additional-attempts,404
additional-buttons,404
additional-cooking,404
additional-extra,404
additional-features,404
additional-instructions,404
additional-minute,404
additional-packaging,404
additional-problems,404
additional-room,404
additional-settings,16
additional-time,404
additional-touch,404
additional-warranties,404
additions-to,404
address-listed,404
address-on,16
address-our,404
address-sliding,404
address-some,404
address-someone,404
address-that,16
address-the,16
address-their,404
address-these,404
address-this,404
addresses-in,404
adds-a,404
adds-an,404
adds-another,404
ademas-es,404
adentro-y,404
adept-at,404
adequate-for,404
adequate-product,404
adequate-room,404
adequate-space,404
adequate-to,404
